searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType,searched_sp,matched_sp,scientificName,first_of_searched,first_of_binomial,first_of_canonical
Ceanothus gloriosus gloriosus,7530271,Ceanothus gloriosus gloriosus,<i>Ceanothus</i> <i>gloriosus</i> var. <i>gloriosus</i>,VARIETY,Rhamnaceae,2407.0,Ceanothus,3039297.0,Ceanothus gloriosus,3039305.0,85,EXACT,3,3,Ceanothus gloriosus gloriosus,Ceanothus,Ceanothus,Ceanothus
Allium douglasii,2856994,Allium douglasii,<i>Allium</i> <i>douglasii</i> Hook.,SPECIES,Amaryllidaceae,7682.0,Allium,9624496.0,Allium douglasii,2856994.0,99,EXACT,2,2,Allium douglasii,Allium,Allium,Allium
Phacelia dubia georgiana,10163590,Phacelia dubia georgiana,<i>Phacelia</i> <i>dubia</i> var. <i>georgiana</i> Mc Vaugh,VARIETY,Hydrophyllaceae,2387.0,Phacelia,8988077.0,Phacelia dubia,2928259.0,87,EXACT,3,3,Phacelia dubia georgiana,Phacelia,Phacelia,Phacelia
Yucca harrimaniae gilbertiana,2775581,Yucca harrimaniae gilbertiana,<i>Yucca</i> <i>harrimaniae</i> var. <i>gilbertiana</i> Trel.,VARIETY,Asparagaceae,7683.0,Yucca,2775496.0,Yucca harrimaniae,2775580.0,84,EXACT,3,3,Yucca harrimaniae gilbertiana,Yucca,Yucca,Yucca
Rumex pallidus,2889033,Rumex pallidus,<i>Rumex</i> <i>pallidus</i> Bigelow,SPECIES,Polygonaceae,2416.0,Rumex,2888942.0,Rumex pallidus,2889033.0,100,EXACT,2,2,Rumex pallidus,Rumex,Rumex,Rumex
Viola rostrata rostrata,7296287,Viola rostrata rostrata,<i>Viola</i> <i>rostrata</i> var. <i>rostrata</i>,VARIETY,Violaceae,6631.0,Viola,2874237.0,Viola rostrata,5331225.0,88,EXACT,3,3,Viola rostrata rostrata,Viola,Viola,Viola
Malus sargentii,3001372,Malus sargentii,<i>Malus</i> <i>sargentii</i> Rehder,SPECIES,Rosaceae,5015.0,Malus,3001068.0,Malus toringo,7848132.0,100,EXACT,2,2,Malus sargentii,Malus,Malus,Malus
Oxalis versicolor,8097265,Oxalis versicolor,<i>Oxalis</i> <i>versicolor</i> L.,SPECIES,Oxalidaceae,6697.0,Oxalis,2891642.0,Oxalis versicolor,8097265.0,99,EXACT,2,2,Oxalis versicolor,Oxalis,Oxalis,Oxalis
Camassia quamash intermedia,2769086,Camassia quamash intermedia,<i>Camassia</i> <i>quamash</i> subsp. <i>intermedia</i> Gould,SUBSPECIES,Asparagaceae,7683.0,Camassia,2769068.0,Camassia quamash,2769084.0,85,EXACT,3,3,Camassia quamash intermedia,Camassia,Camassia,Camassia
Foeniculum vulgare azoricum,7669068,Foeniculum vulgare azoricum,<i>Foeniculum</i> <i>vulgare</i> var. <i>azoricum</i> (Mill.) Holub,VARIETY,Apiaceae,6720.0,Foeniculum,10704390.0,Foeniculum vulgare,3034922.0,85,EXACT,3,3,Foeniculum vulgare azoricum,Foeniculum,Foeniculum,Foeniculum
Physalis longifolia,5341818,Physalis longifolia,<i>Physalis</i> <i>longifolia</i> Nutt.,SPECIES,Solanaceae,7717.0,Physalis,2928907.0,Physalis longifolia,5341818.0,100,EXACT,2,2,Physalis longifolia,Physalis,Physalis,Physalis
Lilium catesbaei,2753284,Lilium catesbaei,<i>Lilium</i> <i>catesbaei</i> Walter,SPECIES,Liliaceae,7699.0,Lilium,2752977.0,Lilium catesbaei,2753284.0,99,EXACT,2,2,Lilium catesbaei,Lilium,Lilium,Lilium
Cirsium occidentale lucianum,4220417,Cirsium occidentale lucianum,<i>Cirsium</i> <i>occidentale</i> var. <i>lucianum</i> D.J.Keil,VARIETY,Asteraceae,3065.0,Cirsium,3112554.0,Cirsium occidentale,3114557.0,88,EXACT,3,3,Cirsium occidentale lucianum,Cirsium,Cirsium,Cirsium
Stellaria longipes,5384620,Stellaria longipes,<i>Stellaria</i> <i>longipes</i> Goldie,SPECIES,Caryophyllaceae,2518.0,Stellaria,3085667.0,Stellaria longipes,5384620.0,100,EXACT,2,2,Stellaria longipes,Stellaria,Stellaria,Stellaria
Lamium purpureum purpureum,7226078,Lamium purpureum purpureum,<i>Lamium</i> <i>purpureum</i> var. <i>purpureum</i>,VARIETY,Lamiaceae,2497.0,Lamium,2926678.0,Lamium purpureum,2926682.0,88,EXACT,3,3,Lamium purpureum purpureum,Lamium,Lamium,Lamium
Honckenya peploides robusta,9072099,Honckenya peploides robusta,<i>Honckenya</i> <i>peploides</i> subsp. <i>robusta</i> (Fernald) Hultén,SUBSPECIES,Caryophyllaceae,2518.0,Honckenya,3085775.0,Honckenya peploides,3085776.0,85,EXACT,3,3,Honckenya peploides robusta,Honckenya,Honckenya,Honckenya
Physalis missouriensis,5341808,Physalis missouriensis,<i>Physalis</i> <i>missouriensis</i> Mack. & Bush,SPECIES,Solanaceae,7717.0,Physalis,2928907.0,Physalis missouriensis,5341808.0,100,EXACT,2,2,Physalis missouriensis,Physalis,Physalis,Physalis
Viola canadensis canadensis,7226050,Viola canadensis canadensis,<i>Viola</i> <i>canadensis</i> var. <i>canadensis</i>,VARIETY,Violaceae,6631.0,Viola,2874237.0,Viola canadensis,5331231.0,88,EXACT,3,3,Viola canadensis canadensis,Viola,Viola,Viola
Quercus × cravenensis,2878264,Quercus cravenensis,<i>Quercus</i> × <i>cravenensis</i> Little,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus cravenensis,2878264.0,100,EXACT,3,2,Quercus cravenensis,Quercus,Quercus,Quercus
Rubus baileyanus,2989820,Rubus baileyanus,<i>Rubus</i> <i>baileyanus</i> Britton,SPECIES,Rosaceae,5015.0,Rubus,2988638.0,Rubus baileyanus,2989820.0,100,EXACT,2,2,Rubus baileyanus,Rubus,Rubus,Rubus
Tradescantia roseolens,2765260,Tradescantia roseolens,<i>Tradescantia</i> <i>roseolens</i> Small,SPECIES,Commelinaceae,2763195.0,Tradescantia,2765096.0,Tradescantia roseolens,2765260.0,100,EXACT,2,2,Tradescantia roseolens,Tradescantia,Tradescantia,Tradescantia
Nuphar × rubrodisca,3697714,Nuphar rubrodisca,<i>Nuphar</i> × <i>rubrodisca</i> Morong,SPECIES,Nymphaeaceae,2423.0,Nuphar,2882408.0,Nuphar rubrodisca,3697714.0,100,EXACT,3,2,Nuphar rubrodisca,Nuphar,Nuphar,Nuphar
Quercus × stelloides,2879170,Quercus stelloides,<i>Quercus</i> × <i>stelloides</i> E.J.Palmer,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus stelloides,2879170.0,100,EXACT,3,2,Quercus stelloides,Quercus,Quercus,Quercus
Crataegus × fretalis,3014902,Crataegus fretalis,<i>Crataegus</i> × <i>fretalis</i> Sarg.,SPECIES,Rosaceae,5015.0,Crataegus,3013395.0,Crataegus fretalis,3014902.0,100,EXACT,3,2,Crataegus fretalis,Crataegus,Crataegus,Crataegus
Quercus viminea,2879637,Quercus viminea,<i>Quercus</i> <i>viminea</i> Trel.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus viminea,2879637.0,100,EXACT,2,2,Quercus viminea,Quercus,Quercus,Quercus
Smilax jamesii,5295096,Smilax jamesii,<i>Smilax</i> <i>jamesii</i> G.A.Wallace,SPECIES,Smilacaceae,7702.0,Smilax,2740627.0,Smilax jamesii,5295096.0,100,EXACT,2,2,Smilax jamesii,Smilax,Smilax,Smilax
Quercus laurifolia,2877708,Quercus laurifolia,<i>Quercus</i> <i>laurifolia</i> Michx.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus laurifolia,2877708.0,99,EXACT,2,2,Quercus laurifolia,Quercus,Quercus,Quercus
Polygonatum biflorum commutatum,2770047,Polygonatum biflorum commutatum,"<i>Polygonatum</i> <i>biflorum</i> var. <i>commutatum</i> Morong, 1893",VARIETY,Asparagaceae,7683.0,Polygonatum,2769995.0,Polygonatum biflorum,2770039.0,88,EXACT,3,3,Polygonatum biflorum commutatum,Polygonatum,Polygonatum,Polygonatum
Primula frenchii,5640458,Primula frenchii,<i>Primula</i> <i>frenchii</i> (Vasey) A.R.Mast & Reveal,SPECIES,Primulaceae,6674.0,Dodecatheon,7597718.0,Dodecatheon frenchii,3169272.0,100,EXACT,2,2,Primula frenchii,Primula,Primula,Primula
Sanicula maritima,3034864,Sanicula maritima,<i>Sanicula</i> <i>maritima</i> Kellogg ex S.Watson,SPECIES,Apiaceae,6720.0,Sanicula,3034831.0,Sanicula maritima,3034864.0,99,EXACT,2,2,Sanicula maritima,Sanicula,Sanicula,Sanicula
Cirsium douglasii douglasii,7222553,Cirsium douglasii douglasii,<i>Cirsium</i> <i>douglasii</i> var. <i>douglasii</i>,VARIETY,Asteraceae,3065.0,Cirsium,3112554.0,Cirsium douglasii,3113757.0,88,EXACT,3,3,Cirsium douglasii douglasii,Cirsium,Cirsium,Cirsium
