source,name,edibles,e_stem,e_leaves,e_fiddleheads,e_root,e_heart,e_shoots,e_fruit,e_flower,e_seeds,e_cambium,e_needles,e_pollen,e_bark,e_immature seed,e_tips,e_nuts,e_immature fruit,e_sap,e_peel,e_immature seeds,e_buds,e_immature flower,e_shoot,e_stems,e_immature buds,e_flowerbuds,e_fruits,e_roots,e_beans,e_galls,e_stalks,e_flowers,e_pith,e_immature seedpods,e_immature fruits
0017_b,Juniperus virginiana,"berries,branch tips,needles (tea)",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0018_a,Taxus canadensis,berries,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0019_a,Juglans nigra,"nuts,immature fruits (pickled),sap (syrup)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0019_b,Juglans cinerea,"nuts,immature nuts (pickle),sap (syrup)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0020_a,Carya,nuts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021_b,Carya laciniosa,nuts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0022_b,Carya glabra,nuts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0023_a,Fagus grandifolia,"nuts, young leaves",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0023_b,Castanea dentata,nuts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0024_a,Castanea pumila,nuts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
