0083_a,0083_b,Parthenocissus quinquefolia|Parthenocissus vitacea,"inner bark,shoots|inner bark,shoots",1,0,0
0084_a,0084_b,Wisteria,,0,0,0
0084_b,0085_a,Scirpus validus,"rhizome tips,stem bases,pollen,seeds",0,1,0
0085_a,0085_b,,,0,0,1
0085_b,0086_a,Zizaniopsis miliaceae,"stem bases,shoots,seeds",0,0,0
0086_a,0086_b,Zizania palustris|Zizania aquatica,seeds|seeds,1,0,0
0086_b,0087_a,Bolboschoenus fluviatilis,"young corms,shoot tips,stem",0,1,0
0087_a,0087_b,Typha,"rhizome,lateral shoots,green flower,pollen",0,1,0
0087_b,0088_a,,,0,0,1
0088_b,0089_a,Acorus,"rhizomes,hearts,immature flower",0,1,0
0089_a,0089_b,,,0,0,1
0089_b,0090_b,,"fruits,leaves",0,0,0
0091_a,0091_b,Sium suave,"roots, stems, leaves,shoots",0,1,0
0091_b,0092_a,,,0,0,1
0092_a,0093_a,Berula erecta,greens,0,1,0
0093_a,0093_b,,,0,0,1
0094_b,0095_a,,nuts,0,0,0
0095_b,0096_a,,,0,1,0
0096_a,0096_b,Sagittaria rigida,"tubers,shoots,leaves,shoots",0,0,0
0097_b,0098_a,,"tubers,nuts,leaves",0,0,0
0098_a,0098_b,Nuphar,"rhizomes,seeds",0,0,0
0098_b,0099_a,Peltandra virginica,rootstock,0,0,0
0100_a,0100_b,,"shoot,fruit,seed",0,0,0
