searchedName,canonicalName,scientificName,rank,usageKey,match_confidence,matchType
Prunus serotina,Prunus serotina,Prunus serotina Ehrh.,SPECIES,3021850,99,EXACT
Prunus pensylvanica,Prunus pensylvanica,Prunus pensylvanica L.fil.,SPECIES,8202030,100,EXACT
Prunus avium,Prunus avium,Prunus avium (L.) L.,SPECIES,3020791,99,EXACT
Elaeagnus angustifolia,Elaeagnus angustifolia,Elaeagnus angustifolia L.,SPECIES,3039269,99,EXACT
Cornus mas,Cornus mas,Cornus mas L.,SPECIES,3082263,100,EXACT
Sassafras albidum,Sassafras albidum,Sassafras albidum (Nutt.) Nees,SPECIES,3034002,100,EXACT
Sideroxylon lanuginosum,Sideroxylon lanuginosum,Sideroxylon lanuginosum Michx.,SPECIES,2887069,100,EXACT
Amelanchier,Amelanchier,Amelanchier Medik.,GENUS,3023817,80,HIGHERRANK
Crataegus,Crataegus,Crataegus L.,GENUS,3013395,80,HIGHERRANK
Cercis canadensis,Cercis canadensis,Cercis canadensis L.,SPECIES,5353583,99,EXACT
Gymnocladus dioicus,Gymnocladus dioicus,Gymnocladus dioicus (L.) K.Koch,SPECIES,2944215,100,EXACT
Prosopis glandulosa,Prosopis glandulosa,Prosopis glandulosa Torr.,SPECIES,5358457,100,EXACT
Gleditsia triacanthos,Gleditsia triacanthos,Gleditsia triacanthos L.,SPECIES,2959443,100,EXACT
Robinia pseudoacacia,Robinia pseudoacacia,Robinia pseudoacacia L.,SPECIES,5352251,100,EXACT
Robinia viscosa,Robinia viscosa,Robinia viscosa Michx. ex Vent.,SPECIES,5352245,99,EXACT
Robinia hispida,Robinia hispida,Robinia hispida L.,SPECIES,5352221,100,EXACT
Robinia neomexicana,Robinia neomexicana,Robinia neomexicana A.Gray,SPECIES,5352212,100,EXACT
Tilia americana,Tilia americana,Tilia americana L.,SPECIES,3152042,99,EXACT
Populus tremuloides,Populus tremuloides,Populus tremuloides Michx.,SPECIES,3040215,99,EXACT
Betula,Betula,Betula sp.,SPECIES,9596658,96,HIGHERRANK
Betula papyrifera,Betula papyrifera,Betula papyrifera Marshall,SPECIES,5332120,99,EXACT
Betula nigra,Betula nigra,Betula nigra L.,SPECIES,5331532,99,EXACT
Betula alleghaniensis,Betula alleghaniensis,Betula alleghaniensis Britton,SPECIES,5331779,100,EXACT
Betula lenta,Betula lenta,Betula lenta L.,SPECIES,5331709,99,EXACT
Acer,Acer,"Acer spec Linnaeus, 1753",SPECIES,11599995,98,HIGHERRANK
Acer saccharum,Acer saccharum,Acer saccharum Marshall,SPECIES,3189859,100,EXACT
Acer rubrum,Acer rubrum,Acer rubrum L.,SPECIES,3189883,99,EXACT
Acer saccharinum,Acer saccharinum,Acer saccharinum L.,SPECIES,3189837,99,EXACT
Acer negundo,Acer negundo,Acer negundo L.,SPECIES,3189866,100,EXACT
Ulmus rubra,Ulmus rubra,Ulmus rubra Muhl.,SPECIES,5361867,99,EXACT
Ulmus pumila,Ulmus pumila,Ulmus pumila L.,SPECIES,5361877,99,EXACT
Epigaea repens,Epigaea repens,Epigaea repens L.,SPECIES,2882805,100,EXACT
Gaultheria hispidula,Gaultheria hispidula,Gaultheria hispidula (L.) Muhl. ex Bigelow,SPECIES,2882756,99,EXACT
Vaccinium,Vaccinium,Vaccinium L.,GENUS,2882813,80,HIGHERRANK
Vaccinium macrocarpon,Vaccinium macrocarpon,Vaccinium macrocarpon Aiton,SPECIES,2882841,100,EXACT
Vaccinium oxycoccus,Vaccinium oxycoccus,Vaccinium oxycoccus L.,SPECIES,2882949,99,EXACT
Vaccinium vitis-idaea,Vaccinium vitis-idaea,Vaccinium vitis-idaea L.,SPECIES,2882835,100,EXACT
Gaultheria procumbens,Gaultheria procumbens,Gaultheria procumbens L.,SPECIES,2882753,100,EXACT
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi (L.) Spreng.,SPECIES,2882580,100,EXACT
Arctous rubra,Arctous rubra,Arctous rubra (Rehder & E.H.Wilson) Nakai,SPECIES,2882597,100,EXACT
Arctous alpina,Arctous alpina,Arctous alpina (L.) Nied.,SPECIES,2882527,100,EXACT
Sambucus racemosa,Sambucus racemosa,Sambucus racemosa L.,SPECIES,2888723,99,EXACT
Shepherdia argentea,Shepherdia argentea,Shepherdia argentea (Pursh) Nutt.,SPECIES,5372429,99,EXACT
Shepherdia canadensis,Shepherdia canadensis,Shepherdia canadensis (L.) Nutt.,SPECIES,5372427,100,EXACT
Elaeagnus umbellata,Elaeagnus umbellata,Elaeagnus umbellata Thunb.,SPECIES,3039267,99,EXACT
Vaccinium trilobum,Vaccinium,Vaccinium L.,GENUS,2882813,96,HIGHERRANK
Viburnum edule,Viburnum edule,Viburnum edule (Michx.) Raf.,SPECIES,2888613,100,EXACT
Mahonia trifoliata,Berberidaceae,Berberidaceae,FAMILY,6673,99,HIGHERRANK
Lycium barbarum,Lycium barbarum,Lycium barbarum L.,SPECIES,2928835,99,EXACT
Lycium carolinianum,Lycium carolinianum,Lycium carolinianum Walter,SPECIES,2928830,100,EXACT
Berberis vulgaris,Berberis vulgaris,Berberis vulgaris L.,SPECIES,3033894,99,EXACT
Berberis thunbergii,Berberis thunbergii,Berberis thunbergii DC.,SPECIES,3033896,100,EXACT
Lindera benzoin,Lindera benzoin,Lindera benzoin (L.) Blume,SPECIES,5371740,99,EXACT
Ribes triste,Ribes triste,Ribes triste Pall.,SPECIES,2986159,99,EXACT
Ribes glandulosum,Ribes glandulosum,Ribes glandulosum Grauer,SPECIES,2986208,99,EXACT
Aronia arbutifolia,Aronia arbutifolia,Aronia arbutifolia (L.) Pers.,SPECIES,5363629,99,EXACT
Ilex vomitoria,Ilex vomitoria,Ilex vomitoria Aiton,SPECIES,5414250,100,EXACT
Vaccinium stamineum,Vaccinium stamineum,Vaccinium stamineum L.,SPECIES,2882913,100,EXACT
Elaeagnus commutata,Elaeagnus commutata,Elaeagnus commutata Bernh. ex Rydb.,SPECIES,3039274,99,EXACT
Cornus stolonifera,Cornus stolonifera,Cornus stolonifera Michx.,SPECIES,6427418,100,EXACT
Viburnum,Viburnum,Viburnum L.,GENUS,2888580,80,HIGHERRANK
Viburnum lentago,Viburnum lentago,Viburnum lentago L.,SPECIES,2888586,99,EXACT
Viburnum cassinoides,Viburnum cassinoides,Viburnum cassinoides L.,SPECIES,6369862,99,EXACT
Viburnum nudum,Viburnum nudum,Viburnum nudum L.,SPECIES,2888627,100,EXACT
Viburnum prunifolium,Viburnum prunifolium,Viburnum prunifolium L.,SPECIES,2888608,100,EXACT
Viburnum rufidulum,Viburnum rufidulum,Viburnum rufidulum Raf.,SPECIES,2888590,100,EXACT
Viburnum obovatum,Viburnum obovatum,Viburnum obovatum Walter,SPECIES,2888620,99,EXACT
Viburnum alnifolium,Viburnum alnifolium,Viburnum alnifolium Marshall,SPECIES,2888603,100,EXACT
Prunus virginiana,Prunus virginiana,Prunus virginiana L.,SPECIES,3022668,99,EXACT
Sambucus canadensis,Sambucus canadensis,Sambucus canadensis L.,SPECIES,6369819,99,EXACT
Ribes,Ribes,Ribes L.,GENUS,2986095,80,HIGHERRANK
Ribes americanum,Ribes americanum,Ribes americanum Mill.,SPECIES,2986121,99,EXACT
Ribes odoratum,Ribes odoratum,Ribes odoratum Schlecht. ex Hemsl.,SPECIES,7510171,99,EXACT
Lonicera caerulaea,Lonicera caerulea,Lonicera caerulea L.,SPECIES,5334269,95,FUZZY
Callicarpa americana,Callicarpa americana,Callicarpa americana L.,SPECIES,5341129,99,EXACT
Aronia melanocarpa,Aronia melanocarpa,Aronia melanocarpa (Michx.) Elliott,SPECIES,5363627,99,EXACT
Rhamnus caroliniana,Rhamnaceae,Rhamnaceae,FAMILY,2407,99,HIGHERRANK
Gaylussacia baccata,Gaylussacia baccata,Gaylussacia baccata (Wangenh.) K.Koch,SPECIES,2882739,100,EXACT
Vaccinium arboreum,Vaccinium arboreum,Vaccinium arboreum Marshall,SPECIES,2882828,99,EXACT
Vaccinium corymbosum,Vaccinium corymbosum,Vaccinium corymbosum L.,SPECIES,2882849,99,EXACT
Vaccinium elliotti,Vaccinium elliottii,Vaccinium elliottii Chapm.,SPECIES,2882911,97,FUZZY
Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum L.,SPECIES,8073364,100,EXACT
Rhus,Rhus,Rhus L.,GENUS,3190534,80,HIGHERRANK
Rhus coppalina,Rhus copallina,Rhus copallina L.,SPECIES,3190557,97,FUZZY
Rhus typhina,Rhus typhina,Rhus typhina L.,SPECIES,3190538,100,EXACT
Rhus glabra,Rhus glabra,Rhus glabra L.,SPECIES,3190544,100,EXACT
Rhus aromatica,Rhus aromatica,Rhus aromatica Aiton,SPECIES,3190558,100,EXACT
Zanthoxylum americanum,Zanthoxylum americanum,Zanthoxylum americanum Mill.,SPECIES,3190089,100,EXACT
Amorpha canescens,Amorpha canescens,Amorpha canescens Pursh,SPECIES,5357388,99,EXACT
Comptonia peregrina,Comptonia peregrina,Comptonia peregrina (L.) J.M.Coult.,SPECIES,5414197,100,EXACT
Myrica gale,Myrica gale,Myrica gale L.,SPECIES,5414202,100,EXACT
Myrica pensylvanica,Morella,Morella Lour.,GENUS,7780807,99,HIGHERRANK
Ledum groenlandicum,Ledum groenlandicum,Ledum groenlandicum Oeder,SPECIES,2882982,99,EXACT
Chamaedaphne calyculata,Chamaedaphne calyculata,Chamaedaphne calyculata (L.) Moench,SPECIES,5333436,99,EXACT
Vitis,Vitis,Vitis L.,GENUS,7467468,80,HIGHERRANK
Ampelopsis cordata,Ampelopsis cordata,Ampelopsis cordata Michx.,SPECIES,3039183,100,EXACT
Vitis rotundifolia,Vitis rotundifolia,Vitis rotundifolia Michx.,SPECIES,5372394,99,EXACT
Ampelopsis arborea,Ampelopsis arborea,"Ampelopsis arborea Kochne, 1893",SPECIES,8363567,99,EXACT
Smilax,Smilax,Smilax L.,GENUS,2740627,80,HIGHERRANK
Celastrus scandens,Celastrus scandens,Celastrus scandens L.,SPECIES,3169171,99,EXACT
Lonicera japonica,Lonicera japonica,Lonicera japonica Thunb.,SPECIES,5334240,99,EXACT
Parthenocissus quinquefolia,Parthenocissus quinquefolia,Parthenocissus quinquefolia (L.) Planch.,SPECIES,3039194,100,EXACT
Parthenocissus vitacea,Parthenocissus vitacea,Parthenocissus vitacea (Knerr) Hitchc.,SPECIES,3039193,100,EXACT
Pueraria lobata,Pueraria lobata,Pueraria lobata (Willd.) Ohwi,SPECIES,2977654,99,EXACT
Wisteria,Wisteria,Wisteria Nutt.,GENUS,2977309,80,HIGHERRANK
Scirpus validus,Cyperaceae,Cyperaceae,FAMILY,7708,99,HIGHERRANK
Typha validus,Typha,Typha L.,GENUS,2702102,96,HIGHERRANK
Zizaniopsis miliaceae,Zizaniopsis miliacea,Zizaniopsis miliacea (Michx.) Döll & Asch.,SPECIES,2703487,97,FUZZY
Zizania palustris,Zizania palustris,Zizania palustris L.,SPECIES,2703230,100,EXACT
Zizania aquatica,Zizania aquatica,Zizania aquatica L.,SPECIES,2703228,100,EXACT
Bolboschoenus fluviatilis,Bolboschoenus fluviatilis,Bolboschoenus fluviatilis (Torr.) Soják,SPECIES,7953794,99,EXACT
Typha,Typha,Typha L.,GENUS,2702102,80,HIGHERRANK
Sparganium eurycarpum,Sparganium eurycarpum,Sparganium eurycarpum Engelm.,SPECIES,2702394,99,EXACT
Acorus,Acorus,"Acorus spec Linnaeus, 1753",SPECIES,11457635,98,HIGHERRANK
A. americanus,Plantae,Plantae,KINGDOM,6,99,HIGHERRANK
Vallisneria americana,Vallisneria americana,Vallisneria americana Michx.,SPECIES,2865501,100,EXACT
Nasturtium officinale,Nasturtium officinale,Nasturtium officinale R.Br.,SPECIES,7701037,99,EXACT
Sium suave,Sium suave,Sium suave Walter,SPECIES,3034526,100,EXACT
Berula erecta,Berula erecta,Berula erecta (Huds.) Coville,SPECIES,3034699,100,EXACT
Berula pusilla,Berula pusilla,Berula pusilla (Nutt.) Fernald,SPECIES,8594625,100,EXACT
Veronica americana,Veronica americana,Veronica americana (Raf.) Schwein. ex Benth.,SPECIES,3172084,99,EXACT
Alternanthera philoxeroides,Alternanthera philoxeroides,Alternanthera philoxeroides (Mart.) Griseb.,SPECIES,3084923,100,EXACT
