searchedName,canonicalName,scientificName,rank,usageKey,match_confidence,matchType
 Rumex acetosella,Rumex acetosella,Rumex acetosella L.,SPECIES,2888995,99,EXACT
 Rumex acetosa,Rumex acetosa,Rumex acetosa L.,SPECIES,2888951,100,EXACT
 Oxalis violacea,Oxalis violacea,Oxalis violacea L.,SPECIES,2891708,99,EXACT
Bistorta vivipara,Bistorta vivipara,Bistorta vivipara (L.) Delarbre,SPECIES,2889299,99,EXACT
 Pediomelum subacaule,Pediomelum subacaule,Pediomelum subacaule (Torr. & A.Gray) Rydb.,SPECIES,2959964,100,EXACT
 Anemonella thalictroides,Anemonella thalictroides,Anemonella thalictroides (L.) Spach,SPECIES,3033115,99,EXACT
 Mertensia virginica,Mertensia virginica,Mertensia virginica (L.) Pers. ex Link,SPECIES,5341242,99,EXACT
 Krigia caespitosa,Krigia caespitosa,Krigia caespitosa (Raf.) K.L.Chambers,SPECIES,4273501,100,EXACT
Mertensia maritama,Mertensia maritima,Mertensia maritima (L.) Gray,SPECIES,5341246,96,FUZZY
Silene vulgaris,Silene vulgaris,Silene vulgaris (Moench) Garcke,SPECIES,9172281,100,EXACT
 Berteroa incana,Berteroa incana,Berteroa incana (L.) DC.,SPECIES,3053522,100,EXACT
 Campanula rotundifolia,Campanula rotundifolia,Campanula rotundifolia L.,SPECIES,5410907,99,EXACT
 Campanula rapunculoides,Campanula rapunculoides,Campanula rapunculoides L.,SPECIES,5410436,99,EXACT
 Caltha palustris,Caltha palustris,Caltha palustris L.,SPECIES,5371685,100,EXACT
 Cardamine bulbosa,Cardamine bulbosa,"Cardamine bulbosa (Schreb. ex Muhl.) Britton, Sterns & Poggenb.",SPECIES,3045907,100,EXACT
 Armoracia rusticana,Armoracia rusticana,"Armoracia rusticana P.Gaertn., B.Mey. & Scherb.",SPECIES,3041022,99,EXACT
 Hesperis matronalis,Hesperis matronalis,Hesperis matronalis L.,SPECIES,3042291,100,EXACT
 Alliaria petiolata,Alliaria petiolata,Alliaria petiolata (M.Bieb.) Cavara & Grande,SPECIES,5376075,100,EXACT
Arctim lancea,Plantae,Plantae,KINGDOM,6,99,HIGHERRANK
 Aster macrophyllus,Aster macrophyllus,Aster macrophyllus L.,SPECIES,5396109,100,EXACT
 Scorzonera laciniata,Scorzonera laciniata,Scorzonera laciniata L.,SPECIES,8286501,99,EXACT
 Thlaspi arvense,Thlaspi arvense,Thlaspi arvense L.,SPECIES,3052680,100,EXACT
 Youngia japonica,Youngia japonica,Youngia japonica (L.) DC.,SPECIES,5387974,100,EXACT
 Cichorium intybus,Cichorium intybus,Cichorium intybus L.,SPECIES,5392252,100,EXACT
 Cardaria draba,Cardaria draba,Cardaria draba (L.) Desv.,SPECIES,3052311,100,EXACT
 Sonchus asper,Sonchus asper,Sonchus asper (L.) Hill,SPECIES,3105782,99,EXACT
 Eryngium yuccifolium,Eryngium yuccifolium,Eryngium yuccifolium Michx.,SPECIES,3034408,100,EXACT
ilphium terebinthinaceum,Plantae,Plantae,KINGDOM,6,99,HIGHERRANK
 Viola canadensis,Viola canadensis,Viola canadensis L.,SPECIES,5331231,100,EXACT
 Castilleja coccinea,Castilleja coccinea,Castilleja coccinea (L.) Spreng.,SPECIES,3170660,99,EXACT
ygodesmia texana,Plantae,Plantae,KINGDOM,6,99,HIGHERRANK
 Monolepis nuttalliana,Monolepis nuttalliana,Monolepis nuttalliana (Roem. & Schult.) Greene,SPECIES,5383905,100,EXACT
 Callirhoe pedata,Callirhoe pedata,Callirhoe pedata (Nutt. ex Hook.) A.Gray,SPECIES,5406705,100,EXACT
 Malva moschata,Malva moschata,Malva moschata L.,SPECIES,3152379,99,EXACT
apsana communis,Plantae,Plantae,KINGDOM,6,99,HIGHERRANK
 Napaea dioica,Napaea dioica,Napaea dioica L.,SPECIES,5406715,100,EXACT
 Pyrrhopappus carolinianus,Pyrrhopappus carolinianus,Pyrrhopappus carolinianus (Walter) DC.,SPECIES,3145236,100,EXACT
 Viola bicolor,Viola,Viola L.,GENUS,2874237,99,HIGHERRANK
 Pedicularis canadensis,Pedicularis canadensis,Pedicularis canadensis L.,SPECIES,3171674,100,EXACT
 Oenothera laciniata,Oenothera laciniata,Oenothera laciniata Hill,SPECIES,3188867,100,EXACT
 Rorippa palustris,Rorippa palustris,Rorippa palustris (L.) Besser,SPECIES,3053168,99,EXACT
 Barbarea vulgaris,Barbarea vulgaris,Barbarea vulgaris (L.) W.T.Aiton,SPECIES,5708780,99,EXACT
 Chorispora tenella,Chorispora tenella,Chorispora tenella (Pall.) DC.,SPECIES,3044349,100,EXACT
 Lepidium campestre,Lepidium campestre,Lepidium campestre (L.) W.T.Aiton,SPECIES,7703116,99,EXACT
 Arabis glabra,Arabis glabra,Arabis glabra (L.) Bernh.,SPECIES,5376011,100,EXACT
Malva sylvestris,Malva sylvestris,Malva sylvestris L.,SPECIES,3152374,100,EXACT
 Rugosum cabbage,Plantae,Plantae,KINGDOM,6,99,HIGHERRANK
drophyllum appendiculatum,Plantae,Plantae,KINGDOM,6,99,HIGHERRANK
 Sisymbrium officinale,Sisymbrium officinale,Sisymbrium officinale (L.) Scop.,SPECIES,3046890,100,EXACT
 Sisymbrium altissimum,Sisymbrium altissimum,Sisymbrium altissimum L.,SPECIES,3046736,99,EXACT
 Chrysanthemum leucanthemum,Chrysanthemum leucanthemum,Chrysanthemum leucanthemum L.,SPECIES,3134125,100,EXACT
 Erucastrum gallicum,Erucastrum gallicum,Erucastrum gallicum (Willd.) O.E.Schulz,SPECIES,5375547,100,EXACT
 Raphanus raphanistrum,Raphanus raphanistrum,Raphanus raphanistrum L.,SPECIES,3040983,99,EXACT
 Heracleum lanatum,Heracleum lanatum,Heracleum lanatum Michx.,SPECIES,3034828,100,EXACT
Lepidium virginicum,Lepidium virginicum,Lepidium virginicum L.,SPECIES,5376648,99,EXACT
 Pastinaca sativa,Pastinaca sativa,Pastinaca sativa L.,SPECIES,8262702,99,EXACT
 Bunias orientalis,Bunias orientalis,Bunias orientalis L.,SPECIES,3050364,100,EXACT
 Cardamine hirsuta,Cardamine hirsuta,Cardamine hirsuta L.,SPECIES,3046258,99,EXACT
 Cardamine impatiens,Cardamine impatiens,Cardamine impatiens L.,SPECIES,3046187,99,EXACT
 Sisymbrium loeselii,Sisymbrium loeselii,Sisymbrium loeselii L.,SPECIES,3046875,99,EXACT
 Duchesnea indica,Duchesnea indica,Duchesnea indica (Andrews) Focke,SPECIES,3031919,99,EXACT
 Coincya monensis,Coincya monensis,Coincya monensis (L.) Greuter & Burdet,SPECIES,3040600,100,EXACT
 Phacelia dubia,Phacelia dubia,Phacelia dubia (L.) Trel.,SPECIES,2928259,100,EXACT
 Taenidia integerrima,Taenidia integerrima,Taenidia integerrima (L.) Drude,SPECIES,5371759,100,EXACT
