searchedName,canonicalName,scientificName,rank,usageKey,match_confidence,matchType
tussilago farfara,Tussilago farfara,Tussilago farfara L.,SPECIES,3149879,100,EXACT
petasites frigidus,Petasites frigidus,Petasites frigidus (L.) Fr.,SPECIES,3088323,100,EXACT
hydrocotyle bonariensis,Hydrocotyle bonariensis,Hydrocotyle bonariensis Comm. ex Lam.,SPECIES,3034611,99,EXACT
centella erecta,Centella erecta,Centella erecta (L.fil.) Fernald,SPECIES,8598241,100,EXACT
aralia nudicaulis,Aralia nudicaulis,Aralia nudicaulis L.,SPECIES,3037021,99,EXACT
trifolium repens,Trifolium repens,Trifolium repens L.,SPECIES,5358748,99,EXACT
lomatium foeniculaceum,Lomatium foeniculaceum,Lomatium foeniculaceum (Nutt.) J.M.Coult. & Rose,SPECIES,3034267,100,EXACT
musineon tenuifolium,Musineon tenuifolium,Musineon tenuifolium Nutt.,SPECIES,7658142,99,EXACT
cymopterus acaulis,Cymopterus acaulis,Cymopterus acaulis Raf.,SPECIES,3034473,99,EXACT
cymopterus montanus,Cymopterus montanus,Cymopterus montanus Nutt.,SPECIES,7911387,99,EXACT
potentilla anserina,Potentilla anserina,Potentilla anserina L.,SPECIES,5366829,99,EXACT
fragaria virginiana,Fragaria virginiana,Fragaria virginiana Duchesne,SPECIES,7950792,99,EXACT
fragaria vesca,Fragaria vesca,Fragaria vesca L.,SPECIES,3029817,99,EXACT
oxalis violacea,Oxalis violacea,Oxalis violacea L.,SPECIES,2891708,99,EXACT
pediomelum hypogaeum,Pediomelum hypogaeum,Pediomelum hypogaeum (Nutt.) Rydb.,SPECIES,2944196,100,EXACT
pediomelum subacaule,Pediomelum subacaule,Pediomelum subacaule (Torr. & A.Gray) Rydb.,SPECIES,2959964,100,EXACT
anemonella thalictroides,Anemonella thalictroides,Anemonella thalictroides (L.) Spach,SPECIES,3033115,99,EXACT
mollugo verticillata,Mollugo verticillata,Mollugo verticillata L.,SPECIES,3084611,99,EXACT
krigia caespitosa,Krigia caespitosa,Krigia caespitosa (Raf.) K.L.Chambers,SPECIES,4273501,100,EXACT
salvia lyrata,Salvia lyrata,Salvia lyrata L.,SPECIES,2927027,100,EXACT
silphium perfoliatum,Silphium perfoliatum,Silphium perfoliatum L.,SPECIES,3092576,100,EXACT
prunella vulgaris,Prunella vulgaris,Prunella vulgaris L.,SPECIES,5341297,99,EXACT
silene vulgaris,Silene vulgaris,Silene vulgaris (Moench) Garcke,SPECIES,9172281,100,EXACT
silene cserii,Silene csereii,Silene csereii Baumg.,SPECIES,5384782,95,FUZZY
silene alba,Silene,Silene L.,GENUS,3085897,99,HIGHERRANK
podophyllum peltatum,Podophyllum peltatum,Podophyllum peltatum L.,SPECIES,3033839,100,EXACT
dentaria laciniata,Dentaria laciniata,Dentaria laciniata Muhl.,SPECIES,5374824,99,EXACT
dentaria multifida,Dentaria multifida,Dentaria multifida Muhl. ex Elliott,SPECIES,5374763,99,EXACT
dentaria heterophylla,Dentaria heterophylla,Dentaria heterophylla Nutt.,SPECIES,5374774,100,EXACT
dentaria diphylla,Dentaria diphylla,Dentaria diphylla Michx.,SPECIES,5374767,100,EXACT
rumex acetosella,Rumex acetosella,Rumex acetosella L.,SPECIES,2888995,99,EXACT
rumex hastatalus,Rumex hastatulus,Rumex hastatulus Baldwin ex Elliott,SPECIES,7840099,95,FUZZY
rumex acetosa,Rumex acetosa,Rumex acetosa L.,SPECIES,2888951,100,EXACT
ficaria verna,Ficaria verna,Ficaria verna Huds.,SPECIES,9094061,100,EXACT
bistorta vivipara,Bistorta vivipara,Bistorta vivipara (L.) Delarbre,SPECIES,2889299,99,EXACT
rumex crispus,Rumex crispus,Rumex crispus L.,SPECIES,8195144,99,EXACT
rumex longifolius,Rumex longifolius,Rumex longifolius DC.,SPECIES,2888946,99,EXACT
rumex fueginus,Rumex fueginus,Rumex fueginus Phil.,SPECIES,2888982,100,EXACT
rumex patientia,Rumex patientia,Rumex patientia L.,SPECIES,2889019,99,EXACT
rumex obtusifolius,Rumex obtusifolius,Rumex obtusifolius L.,SPECIES,2889011,99,EXACT
mertensia virginica,Mertensia virginica,Mertensia virginica (L.) Pers. ex Link,SPECIES,5341242,99,EXACT
mertensia paniculata,Mertensia paniculata,Mertensia paniculata (Aiton) G.Don,SPECIES,5341214,100,EXACT
mertensia maritima,Mertensia maritima,Mertensia maritima (L.) Gray,SPECIES,5341246,100,EXACT
solidago sempervirens,Solidago sempervirens,Solidago sempervirens L.,SPECIES,5388927,99,EXACT
symphtum officinale,Symphytum officinale,Symphytum officinale L.,SPECIES,7558421,89,FUZZY
arctium lappa,Arctium lappa,Arctium lappa L.,SPECIES,7353729,99,EXACT
arctium minus,Arctium minus,Arctium minus (Hill) Bernh.,SPECIES,5393103,99,EXACT
arctium tomentosa,Arctium tomentosum,Arctium tomentosum Mill.,SPECIES,5393080,98,FUZZY
aster novae-angliae,Aster novae-angliae,Aster novae-angliae L.,SPECIES,5406425,100,EXACT
berteroa incana,Berteroa incana,Berteroa incana (L.) DC.,SPECIES,3053522,100,EXACT
campanula rotundifolia,Campanula rotundifolia,Campanula rotundifolia L.,SPECIES,5410907,99,EXACT
campanula americana,Campanula americana,"Campanula americana hort. ex Steud., 1840",SPECIES,7639571,99,EXACT
campanula rapunculoides,Campanula rapunculoides,Campanula rapunculoides L.,SPECIES,5410436,99,EXACT
velns balsamifidus,Plantae,Plantae,KINGDOM,6,99,HIGHERRANK
